Id,MSSubClass,MSZoning,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,KitchenQual,TotRmsAbvGrd,GarageCars,GarageArea,SaleCondition,SalePrice
1,60,RL,CollgCr,2Story,7,5,2003,2003,VinylSd,856,856,854,1710,1,Gd,8,2,548,Normal,208500
2,20,RL,Veenker,1Story,6,8,1976,1976,MetalSd,1262,1262,0,1262,0,TA,6,2,460,Normal,181500
3,60,RL,CollgCr,2Story,7,5,2001,2002,VinylSd,920,920,866,1786,1,Gd,6,2,608,Normal,223500
4,70,RL,Crawfor,2Story,7,5,1915,1970,Wd Sdng,756,961,756,1717,1,Gd,7,3,642,Abnorml,140000
5,60,RL,NoRidge,2Story,8,5,2000,2000,VinylSd,1145,1145,1053,2198,1,Gd,9,3,836,Normal,250000
6,50,RL,Mitchel,1.5Fin,5,5,1993,1995,VinylSd,796,796,566,1362,1,TA,5,2,480,Normal,143000
7,20,RL,Somerst,1Story,8,5,2004,2005,VinylSd,1686,1694,0,1694,1,Gd,7,2,636,Normal,307000
8,60,RL,NWAmes,2Story,7,6,1973,1973,HdBoard,1107,1107,983,2090,1,TA,7,2,484,Normal,200000
9,50,RM,OldTown,1.5Fin,7,5,1931,1950,BrkFace,952,1022,752,1774,0,TA,8,2,468,Abnorml,129900
10,190,RL,BrkSide,1.5Unf,5,6,1939,1950,MetalSd,991,1077,0,1077,1,TA,5,1,205,Normal,118000
11,20,RL,Sawyer,1Story,5,5,1965,1965,HdBoard,1040,1040,0,1040,1,TA,5,1,384,Normal,129500
12,60,RL,NridgHt,2Story,9,5,2005,2006,WdShing,1175,1182,1142,2324,1,Ex,11,3,736,Partial,345000
13,20,RL,Sawyer,1Story,5,6,1962,1962,HdBoard,912,912,0,912,1,TA,4,1,352,Normal,144000
14,20,RL,CollgCr,1Story,7,5,2006,2007,VinylSd,1494,1494,0,1494,0,Gd,7,3,840,Partial,279500
15,20,RL,NAmes,1Story,6,5,1960,1960,MetalSd,1253,1253,0,1253,1,TA,5,1,352,Normal,157000
16,45,RM,BrkSide,1.5Unf,7,8,1929,2001,Wd Sdng,832,854,0,854,0,TA,5,2,576,Normal,132000
17,20,RL,NAmes,1Story,6,7,1970,1970,Wd Sdng,1004,1004,0,1004,1,TA,5,2,480,Normal,149000
18,90,RL,Sawyer,1Story,4,5,1967,1967,MetalSd,0,1296,0,1296,0,TA,6,2,516,Normal,90000
19,20,RL,SawyerW,1Story,5,5,2004,2004,VinylSd,1114,1114,0,1114,1,Gd,6,2,576,Normal,159000
20,20,RL,NAmes,1Story,5,6,1958,1965,BrkFace,1029,1339,0,1339,0,TA,6,1,294,Abnorml,139000
21,60,RL,NridgHt,2Story,8,5,2005,2006,VinylSd,1158,1158,1218,2376,0,Gd,9,3,853,Partial,325300
22,45,RM,IDOTRR,1.5Unf,7,7,1930,1950,Wd Sdng,637,1108,0,1108,0,Gd,6,1,280,Normal,139400
23,20,RL,CollgCr,1Story,8,5,2002,2002,VinylSd,1777,1795,0,1795,0,Gd,7,2,534,Normal,230000
24,120,RM,MeadowV,1Story,5,7,1976,1976,CemntBd,1040,1060,0,1060,1,TA,6,2,572,Normal,129900
25,20,RL,Sawyer,1Story,5,8,1968,2001,Plywood,1060,1060,0,1060,1,Gd,6,1,270,Normal,154000
26,20,RL,NridgHt,1Story,8,5,2007,2007,VinylSd,1566,1600,0,1600,0,Gd,7,3,890,Normal,256300
27,20,RL,NAmes,1Story,5,7,1951,2000,Wd Sdng,900,900,0,900,0,Gd,5,2,576,Normal,134800
28,20,RL,NridgHt,1Story,8,5,2007,2008,VinylSd,1704,1704,0,1704,1,Gd,7,3,772,Normal,306000
29,20,RL,NAmes,1Story,5,6,1957,1997,MetalSd,1484,1600,0,1600,1,TA,6,1,319,Normal,207500
30,30,RM,BrkSide,1Story,4,6,1927,1950,MetalSd,520,520,0,520,0,Fa,4,1,240,Normal,68500
31,70,C (all),IDOTRR,2Story,4,4,1920,1950,BrkFace,649,649,668,1317,0,TA,6,1,250,Normal,40000
32,20,RL,Sawyer,1Story,5,6,1966,2006,HdBoard,1228,1228,0,1228,0,Gd,6,1,271,Normal,149350
33,20,RL,CollgCr,1Story,8,5,2007,2007,VinylSd,1234,1234,0,1234,0,Gd,7,2,484,Normal,179900
34,20,RL,NAmes,1Story,5,5,1959,1959,BrkFace,1398,1700,0,1700,0,Gd,6,2,447,Normal,165500
35,120,RL,NridgHt,1Story,9,5,2005,2005,MetalSd,1561,1561,0,1561,1,Ex,6,2,556,Normal,277500
36,60,RL,NridgHt,2Story,8,5,2004,2005,VinylSd,1117,1132,1320,2452,0,Gd,9,3,691,Normal,309000
37,20,RL,CollgCr,1Story,5,5,1994,1995,VinylSd,1097,1097,0,1097,0,TA,6,2,672,Normal,145000
38,20,RL,NAmes,1Story,5,6,1954,1990,Wd Sdng,1297,1297,0,1297,0,TA,5,2,498,Normal,153000
39,20,RL,NAmes,1Story,5,7,1953,2007,VinylSd,1057,1057,0,1057,1,Gd,5,1,246,Abnorml,109000
40,90,RL,Edwards,1Story,4,5,1955,1955,AsbShng,0,1152,0,1152,0,Fa,6,0,0,AdjLand,82000
41,20,RL,NAmes,1Story,6,5,1965,1965,Wd Sdng,1088,1324,0,1324,0,TA,6,2,440,Abnorml,160000
42,20,RL,Timber,1Story,5,6,1959,1959,VinylSd,1350,1328,0,1328,0,TA,5,1,308,Normal,170000
43,85,RL,SawyerW,SFoyer,5,7,1983,1983,HdBoard,840,884,0,884,1,Gd,5,2,504,Normal,144000
44,20,RL,CollgCr,1Story,5,6,1975,1980,VinylSd,938,938,0,938,1,TA,5,1,308,Normal,130250
45,20,RL,NAmes,1Story,5,6,1959,1959,BrkFace,1150,1150,0,1150,1,TA,6,1,300,Normal,141000
46,120,RL,NridgHt,1Story,9,5,2005,2005,MetalSd,1752,1752,0,1752,1,Ex,6,2,576,Normal,319900
47,50,RL,Mitchel,1.5Fin,7,5,2003,2003,VinylSd,1434,1518,631,2149,1,Gd,6,2,670,Abnorml,239686
48,20,FV,Somerst,1Story,8,5,2006,2006,VinylSd,1656,1656,0,1656,0,Gd,7,3,826,Normal,249700
49,190,RM,OldTown,2Story,4,5,1920,2008,MetalSd,736,736,716,1452,0,TA,8,0,0,Partial,113000
50,20,RL,Sawyer,1Story,5,7,1966,1966,HdBoard,955,955,0,955,1,TA,6,1,386,Normal,127000
51,60,RL,Gilbert,2Story,6,6,1997,1997,VinylSd,794,794,676,1470,0,TA,6,2,388,Normal,177000
52,50,RM,BrkSide,1.5Fin,6,6,1934,1950,Wd Sdng,816,816,0,1176,0,TA,6,2,528,Normal,114500
53,90,RM,IDOTRR,1Story,5,5,1963,1963,Wd Sdng,816,816,0,816,1,TA,5,2,516,Normal,110000
54,20,RL,Veenker,1Story,9,5,1981,1987,WdShing,1842,1842,0,1842,2,Gd,5,3,894,Normal,385000
55,80,RL,NAmes,SLvl,5,5,1955,1955,MetalSd,384,1360,0,1360,0,TA,6,2,572,Normal,130000
56,20,RL,NAmes,1Story,6,5,1964,1964,HdBoard,1425,1425,0,1425,0,TA,7,2,576,Normal,180500
57,160,FV,Somerst,2Story,8,5,1999,2000,MetalSd,970,983,756,1739,1,Gd,7,2,480,Abnorml,172500
58,60,RL,CollgCr,2Story,7,5,2004,2004,VinylSd,860,860,860,1720,0,Gd,7,2,565,Normal,196500
59,60,RL,StoneBr,2Story,10,5,2006,2006,VinylSd,1410,1426,1519,2945,0,Gd,10,3,641,Partial,438780
60,20,RL,CollgCr,1Story,5,7,1972,1972,HdBoard,780,780,0,780,0,TA,4,1,352,Normal,124900
61,20,RL,SawyerW,1Story,6,5,2004,2004,VinylSd,1158,1158,0,1158,1,Gd,5,2,576,Partial,158000
62,75,RM,IDOTRR,2.5Unf,5,7,1920,1996,MetalSd,530,581,530,1111,0,Fa,6,1,288,Normal,101000
63,120,RL,NridgHt,1Story,8,5,2006,2006,VinylSd,1370,1370,0,1370,0,Gd,6,2,484,Normal,202500
64,70,RM,OldTown,2Story,7,6,1921,1950,Stucco,576,902,808,1710,0,TA,9,2,480,Normal,140000
65,60,RL,CollgCr,2Story,7,5,1997,1998,VinylSd,1057,1057,977,2034,1,Gd,8,2,645,Normal,219500
66,60,RL,NridgHt,2Story,8,5,2004,2005,VinylSd,1143,1143,1330,2473,0,Gd,9,3,852,Normal,317000
67,20,RL,NAmes,1Story,7,5,1970,1989,Plywood,1947,2207,0,2207,1,TA,7,2,576,Normal,180000
68,20,RL,CollgCr,1Story,7,5,2003,2003,VinylSd,1453,1479,0,1479,1,Gd,7,2,558,Normal,226000
69,30,RM,OldTown,1Story,4,6,1945,1950,MetalSd,747,747,0,747,0,TA,4,1,220,Normal,80000
70,50,RL,ClearCr,1.5Fin,7,4,1953,1953,BrkFace,1304,1304,983,2287,0,TA,7,2,667,Normal,225000
71,20,RL,NAmes,1Story,7,6,1973,1973,Plywood,2223,2223,0,2223,1,TA,8,2,516,Normal,244000
72,20,RL,Mitchel,1Story,4,6,1982,2006,HdBoard,845,845,0,845,1,TA,4,2,360,Normal,129500
73,60,RL,Gilbert,2Story,7,5,1998,1998,VinylSd,832,885,833,1718,0,TA,7,2,427,Normal,185000
74,20,RL,NAmes,1Story,5,7,1954,2003,Wd Sdng,1086,1086,0,1086,1,TA,6,2,490,Normal,144900
75,50,RM,OldTown,2Story,3,6,1915,1950,VinylSd,840,840,765,1605,0,TA,8,1,379,Normal,107400
76,180,RM,MeadowV,SLvl,4,5,1973,1973,CemntBd,462,526,462,988,1,TA,5,1,297,Normal,91000
77,20,RL,NAmes,1Story,4,7,1956,1956,VinylSd,952,952,0,952,0,TA,4,1,283,Normal,135750
78,50,RM,BrkSide,1.5Fin,5,5,1948,2001,Wd Sdng,672,1072,213,1285,1,TA,6,1,240,Normal,127000
79,90,RL,Sawyer,1Story,4,5,1968,1968,HdBoard,1768,1768,0,1768,0,TA,8,0,0,Normal,136500
80,50,RM,OldTown,2Story,5,6,1910,1981,Wd Sdng,440,682,548,1230,0,TA,5,2,440,Normal,110000
81,60,RL,NAmes,2Story,6,6,1968,1968,VinylSd,896,1182,960,2142,0,Gd,8,1,509,Normal,193500
82,120,RM,Mitchel,1Story,6,5,1998,1998,VinylSd,1237,1337,0,1337,1,TA,5,2,405,Normal,153500
83,20,RL,Somerst,1Story,8,5,2007,2007,VinylSd,1563,1563,0,1563,0,Gd,6,3,758,Normal,245000
84,20,RL,NAmes,1Story,5,5,1960,1960,MetalSd,1065,1065,0,1065,0,TA,6,2,461,Normal,126500
85,80,RL,Gilbert,SLvl,7,5,1995,1996,HdBoard,384,804,670,1474,0,TA,7,2,400,Normal,168500
86,60,RL,NoRidge,2Story,8,5,1991,1992,HdBoard,1288,1301,1116,2417,0,Gd,9,2,462,Normal,260000
87,60,RL,Gilbert,2Story,6,5,2005,2005,VinylSd,684,684,876,1560,0,Gd,6,2,400,Normal,174000
88,160,FV,Somerst,2Story,6,5,2009,2009,VinylSd,612,612,612,1224,0,Gd,4,2,528,Partial,164500
89,50,C (all),IDOTRR,1.5Fin,3,2,1915,1982,Plywood,1013,1013,0,1526,0,Fa,6,0,0,Abnorml,85000
90,20,RL,CollgCr,1Story,4,5,1994,1995,VinylSd,990,990,0,990,1,TA,5,0,0,Normal,123600
91,20,RL,NAmes,1Story,4,5,1950,1950,BrkFace,0,1040,0,1040,0,TA,4,2,420,Normal,109900
92,20,RL,NAmes,1Story,5,3,1961,1961,HdBoard,1235,1235,0,1235,0,TA,6,2,480,Abnorml,98600
93,30,RL,Crawfor,1Story,5,7,1921,2006,Wd Sdng,876,964,0,964,1,TA,5,2,432,Normal,163500
94,190,C (all),OldTown,2.5Unf,6,6,1910,1998,MetalSd,1214,1260,1031,2291,0,TA,9,2,506,Normal,133900
95,60,RL,CollgCr,2Story,6,5,1997,1997,VinylSd,824,905,881,1786,1,Gd,7,2,684,Normal,204750
96,60,RL,Gilbert,2Story,6,8,1993,1993,VinylSd,680,680,790,1470,0,TA,6,2,420,Normal,185000
97,20,RL,CollgCr,1Story,7,5,1999,1999,VinylSd,1588,1588,0,1588,0,Gd,6,2,472,Normal,214000
98,20,RL,Edwards,1Story,4,5,1965,1965,HdBoard,960,960,0,960,1,TA,6,1,432,Normal,94750
99,30,RL,Edwards,1Story,5,5,1920,1950,Wd Sdng,458,835,0,835,0,TA,5,1,366,Abnorml,83000
100,20,RL,NAmes,1Story,4,5,1959,1959,Plywood,950,1225,0,1225,1,TA,6,0,0,Normal,128950
101,20,RL,NWAmes,1Story,6,7,1977,2001,Plywood,1610,1610,0,1610,1,Gd,6,2,480,Normal,205000
102,60,RL,SawyerW,2Story,6,5,1985,1985,HdBoard,741,977,755,1732,0,Gd,7,2,476,Normal,178000
103,90,RL,SawyerW,1Story,5,5,1979,1979,HdBoard,0,1535,0,1535,0,TA,8,2,410,Alloca,118964
104,20,RL,CollgCr,1Story,7,5,2009,2009,VinylSd,1226,1226,0,1226,0,Gd,6,3,740,Normal,198900
105,50,RM,IDOTRR,1.5Fin,7,4,1931,1950,Stucco,1040,1226,592,1818,0,TA,7,1,240,Normal,169500
106,60,FV,Somerst,2Story,8,5,2003,2004,VinylSd,1053,1053,939,1992,0,Gd,9,2,648,Normal,250000
107,30,RM,OldTown,1Story,4,7,1885,1995,VinylSd,641,1047,0,1047,0,TA,6,1,273,Normal,100000
108,20,RM,OldTown,1Story,5,5,1948,1950,VinylSd,789,789,0,789,0,TA,5,1,250,Partial,115000
109,50,RM,IDOTRR,1.5Fin,5,7,1919,2005,CemntBd,793,997,520,1517,0,Fa,7,0,0,Normal,115000
110,20,RL,NWAmes,1Story,6,6,1977,1977,Plywood,1844,1844,0,1844,0,TA,7,2,546,Normal,190000
111,50,RL,Edwards,1.5Fin,6,4,1954,1972,Wd Sdng,994,1216,639,1855,0,TA,7,1,325,Normal,136900
112,80,RL,Gilbert,SLvl,7,5,2000,2000,VinylSd,384,774,656,1430,0,TA,7,2,400,Normal,180000
113,60,RL,CollgCr,2Story,7,5,2007,2007,VinylSd,1264,1282,1414,2696,1,Ex,10,3,792,Partial,383970
114,20,RL,Crawfor,1Story,6,5,1953,1953,Wd Sdng,1809,2259,0,2259,1,Gd,7,2,450,Abnorml,217000
115,70,RL,Crawfor,2Story,6,8,1945,2002,Wd Sdng,1028,1436,884,2320,1,Gd,9,1,180,Normal,259500
116,160,FV,Somerst,2Story,6,5,1999,1999,MetalSd,729,729,729,1458,0,TA,5,2,440,Normal,176000
117,20,RL,Sawyer,1Story,5,5,1962,1962,Wd Sdng,1092,1092,0,1092,0,TA,6,1,288,Normal,139000
118,20,RL,Edwards,1Story,5,5,2006,2007,VinylSd,1125,1125,0,1125,0,TA,5,2,430,Partial,155000
119,60,RL,SawyerW,2Story,7,5,1990,1990,Plywood,1673,1699,1523,3222,1,Gd,11,3,594,Normal,320000
120,60,RL,CollgCr,2Story,6,5,2005,2006,VinylSd,728,728,728,1456,0,Gd,8,2,390,Partial,163990
121,80,RL,ClearCr,SLvl,6,5,1969,1969,Plywood,938,988,0,988,1,TA,4,2,540,Normal,180000
122,50,RM,IDOTRR,1.5Fin,4,5,1939,1950,AsbShng,732,772,351,1123,0,TA,4,1,264,Normal,100000
123,20,RL,NAmes,1Story,6,7,1958,1958,MetalSd,1080,1080,0,1080,0,TA,5,1,288,Normal,136000
124,120,RL,SawyerW,1Story,6,5,1993,1993,Plywood,1199,1199,0,1199,0,Gd,5,2,530,Normal,153900
125,20,RL,NWAmes,1Story,6,5,1979,1998,HdBoard,1362,1586,0,1586,0,TA,7,2,435,Normal,181000
